RÚgIE_ENTR;PROJET_O_N;DOM_PUBLIC;DOSSIER;O_N;NOM;CANTON;SS_QUARTIE;QUARTIER;QUARTIER0;SECTEUR;LIBSECTEUR;CAT?GORIE;LIBCATÚgOR;DATE_CR?AT;ADRESSE;PELOUSES;FLEURS;ARBUSTES;JEUX;ALL?ES;FRICHE;JARDINIERE;HAIES_LONG;WC_O_N;D?POT_JARD;ECLAIRAGE_;V?G?TAUX;BORNE_FONT;BASSINS_FO;DATE_MODIF;COORDONN?E;N_GEST;_LIBGESTI;N_MOEUVRE;_1_LIBGES;DATE_FICHE;GROUPE_ENT;LIBGROUPE;EAU_SURFAC;ROSIERS_SU;FEUILLUS_U;CONIFERE_U;PRAIRIE;PALMIERS_Q;BOISEMENT;XCOORD;YCOORD;ALLÚeS_NON;VIVACES;PROPRIÚt?;LIBPROPRI;UNIFIÚe;LIBTYPOLOG;SEV;NON_SEV;TOTALE;ARBRES;HORTICOLE;HISTORIQUE;ECOLOGIE;ACTIVIT?;COMPOSITIO;ZONE;CL¶tURÚ_O_;FERMETURE;LIBFERMETU;HANDICAPÚs;HANDICAP0;LIBEVOLUTI;ACCESSIBIL;MODIFICATI;TRAML1;BUS;MSEC;BALAYAGESE;NOMCOURT;LONGITUDE;LATITUDE
Non;Non;20060704;1093;Non;Rue OrphÚe;10;4;La Martelle;Les CÚvennes;H;CÚvennes;Ab.voi;Abords de voirie;20060704;Rue OrphÚe;0;0;523;0;0;0;0;0;Non;Non;Non;;0;0;;;1;SEV;1;SEV;39967;2;Normal;0;0;0;0;0;0;0;0;0;0;0;1;Ville de Montpellier;Accompagnement de voirie;Accompagnement de voirie;523;0;523;0;0;0;0;0;0;Nord-Ouest;Non;0;;Non;0;;Non;39967;;;0;Non;;3,829185;43,610167
Non;Non;20090101;1094;Non;Talus sec Tour de Candelon;3;18;Aiguelongue;H¶pitaux-FacultÚs;D;H¶pitaux-FacultÚs;Ab.voi;Abords de voirie;20090101;Rue de la Tour de Candelon;0;0;0;0;250;0;0;0;Non;Non;Non;;0;0;;L14;1;SEV;1;SEV;40056;3;Rustique;0;0;0;0;0;0;0;0;0;0;0;1;Ville de Montpellier;Accompagnement de voirie;Accompagnement de voirie;521;0;521;0;0;0;0;0;0;Nord-Ouest;Non;0;;Non;0;;Non;40056;;;271;Non;;3,882242;43,62966
Non;Non;20070601;1095;Non;EV Tram L2 PrÞs d'ArÞnes;0;0;Sans;Sans;I;PrÞs d'ArÞnes;Ab.voi;Abords de voirie;20070601;;0;0;364;0;0;0;0;0;Non;Non;Non;;0;0;;;1;SEV;1;SEV;40065;2;Normal;0;0;0;0;0;0;0;0;0;0;0;1;Ville de Montpellier;Accompagnement de voirie;Accompagnement de voirie;364;0;364;0;0;0;0;0;0;Sud;Non;0;;Non;0;;Non;40065;;;0;Non;;3,877487;43,59696
Non;Non;20070601;1096;Non;EV Tram L2 Peyrou;0;0;Sans;Sans;B;Peyrou;Ab.voi;Abords de voirie;20070601;;0;0;312;0;0;0;0;0;Non;Non;Non;;0;0;;;1;SEV;1;SEV;40065;2;Normal;0;0;0;0;0;0;0;0;0;0;0;1;Ville de Montpellier;Accompagnement de voirie;Accompagnement de voirie;312;0;312;0;0;0;0;0;0;Centre;Oui;0;;Non;0;;Non;40067;;;0;Non;;3,874982;43,603216
Non;Non;20070601;1097;Non;EV Tram L2 Verdanson;0;0;Sans;Sans;E;Verdanson;Ab.voi;Abords de voirie;20070601;;2000;0;2347;0;0;0;0;0;Non;Non;Non;;0;0;;;1;SEV;1;SEV;40067;2;Normal;0;0;0;0;0;0;0;0;0;0;0;1;Ville de Montpellier;Accompagnement de voirie;Accompagnement de voirie;4347;0;4347;0;0;0;0;0;0;Centre;Oui;0;;Non;0;;Non;40067;;;0;Non;;3,885903;43,614069
Non;Non;20070601;1098;Non;EV Tram L2 Ecusson;0;0;Sans;Sans;A;Ecusson;Ab.voi;Abords de voirie;20070601;;0;0;237;0;0;0;0;0;Non;Non;Non;;0;0;;;1;SEV;1;SEV;40067;2;Normal;0;0;0;0;0;0;0;0;0;0;0;1;Ville de Montpellier;Accompagnement de voirie;Accompagnement de voirie;237;0;237;0;0;0;0;0;0;Centre;Oui;0;;Non;0;;Non;40067;;;0;Non;;3,882243;43,614658
Non;Non;20090911;1099;Non;Ilot King;8;7;La Chamberte;Les CÚvennes;H;CÚvennes;Ab.voi;Abords de voirie;20090911;Rue Luther King et rue Croix de Figuerolles;0;0;53;0;0;0;0;0;Non;Non;Non;;0;0;;G8;1;SEV;1;SEV;40067;2;Normal;0;0;0;0;0;0;0;0;0;0;0;1;Ville de Montpellier;Accompagnement de voirie;Accompagnement de voirie;53;0;53;0;0;0;0;0;0;Nord-Ouest;Non;0;;Non;0;;Non;40067;;;0;Non;;3,846512;43,603793
Oui;Non;19850101;5;Non;Berges du Lez Promenades;4;31;Port Marianne;Port Marianne;L;Port Marianne;Berges;Berges de riviÞre;19850101;Avenue de la mer;19160;60;450;0;0;0;0;0;Non;Oui;Non;;0;1;35075;N8;1;SEV;47;UPEE7;33676;1;Prestige;0;0;0;0;0;0;0;725924,3665;145946,7422;0;0;1;Ville de Montpellier;Parcs, jardins, et squares;Parcs, jardins, et squares;19670;0;19670;0;0;0;0;0;0;Est;Non;0;Pas de fermeture;Oui;0;Pas d'Úvolution possible;Oui;39524;1 - Rives du Lez (190 m);12 - ComtÚ de Melgueil (306 m);0;Non;Lez Promenades;3,896179;43,602089
Non;Non;19760101;78;Non;Berges Mosson (sud);9;2;La Mosson;La Mosson;G;Mosson;Berges;Berges de riviÞre;18991231;Ave d'Heildelberg;0;0;0;0;0;0;0;0;Non;Non;Non;1 cyprÞs chauve, 1 peuplier;0;0;35072;B12;1;SEV;1;SEV;33634;3;Rustique;0;0;1;1;0;0;56610;719184,6889;147762,8312;0;0;1;Ville de Montpellier;Espaces naturels amÚnagÚs;Espaces naturels amÚnagÚs;56610;0;56610;2;0;0;3;0;0;Nord-Ouest;Non;0;Pas de fermeture;Oui;1;Circulations Ó modifier;Oui;;1 - Mosson (359 m);15 - Mosson (329 m);0;Non;Berges Mosson S;3,813361;43,620187
Non;Non;19710101;233;Non;Berges Mosson (nord);9;1;Les Hauts de Massane;La Mosson;F;Hauts de Massane;Berges;Berges de riviÞre;18991231;Avenue d'heidelberg;0;0;30;0;0;0;0;0;Non;Non;Non;acacia, frene, saule,peuplier;0;0;35076;B14;1;SEV;1;SEV;33633;3;Rustique;0;0;0;0;0;0;197970;719285,2732;149214,6303;0;0;1;Ville de Montpellier;Espaces naturels amÚnagÚs;Espaces naturels amÚnagÚs;198000;0;198000;0;0;0;3;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;;15 - Mas de Bellevue (453 m);0;Non;Berges Mosson N;3,814929;43,633237
